Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section
profile,http://www.linkedin.com/company/alcomy,Alcomy,"815 West 1250 South, Orem, UT",alphaMountain's mission is to build next-generation cybersecurity products and services to enhance malicious investigations and protect individuals on the Internet.,alcomy.com,,2-10,B2B Software
profile,http://www.linkedin.com/company/alphamountain,alphaMountain,"1557 West Innovation Way, Lehi, UT",,www.alphamountain.ai,Seed ,2-10,Security 
profile,http://www.linkedin.com/company/altitude-ai,Altitude AI,"215 South State Street, Salt Lake City, UT","Our mission is to accelerate the Fourth Industrial Revolution. We will do this through leveraging our proprietary software, Altitude OS. 

Our platform processes raw data from cameras and force sensors using best-in-class computer vision algorithms developed in-house. The results of that perception drives intelligent motion commands for existing industrial robots. This enables industrial robots to perform advanced and never before seen tasks in pre-existing environments.",www.altitudeai.ai,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/alysio,Alysio,"1637 East Harrison Avenue, Salt Lake City, UT","People performance management for sales. Alysio provides a transformation to the way you scale your sales team. It's the platform used by the world's leading enterprises to improve productivity, understand the individual and have dependability around revenue forecasting.
",www.alysio.ai,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/bracket-labs,Bracket Labs,"2901 West Bluegrass Boulevard, Lehi, UT",Bracket Is Liquid Staked DeFi. Backed By Binance Labs.,www.bracket.fi,Seed ,2-10,FinTech
profile,http://www.linkedin.com/company/trycrew,Crew ,"2000 Ashton Boulevard, Lehi, UT",Crew is a neobank for families. We help parents manage their own finances while empowering them to teach their children financial literacy.,www.trycrew.com,Seed ,2-10,FinTech
profile,http://www.linkedin.com/company/data-quality-co-op,Data Quality Co-Op,"Salt Lake City, UT","Data Quality Co-op ensures it's clients' business decisions, marketing campaigns and AI models are informed by high-quality, high-value data.",www.dataqualityco-op.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/deeppowerinc,DeepPower,"1633 West Innovation Way, Lehi, UT",Developing a breakthrough geothermal drilling technology to access the Earth’s unlimited source of clean heat energy. ,www.deeppower.com,Series A ,2-10,Energy
profile,http://www.linkedin.com/company/domusdx,Domus Diagnostics,"1445 Settlement Drive, Park City, UT","Domus Diagnostics is working to create infectious disease diagnostic tests that are affordable, user-friendly, accurate, and rapid enough to address the needs raised by current and future public health crises.",www.domusdx.com,Seed ,2-10,Bio/Medical Tech
profile,http://www.linkedin.com/company/dónde,Dónde,"26 Rio Grand Street, Salt Lake City, UT","Dónde enables companies to offer travel as a benefit. Our platform allows companies to contribute to their employees time off activities, so they can return to work refreshed and able to do the best work of their lives.",www.godonde.com,Seed ,2-10,B2B Software
