Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section,Founded Year,Founded Source,Logo URL,Logo Source,Pitch,Product Category,Target Market,Monetization Model,Founders,Notable Customers,Funding,Open Role Count,Differentiation Claim,Key Metrics,Integrations,Pages Crawled,Hallucination Flags
profile,http://www.linkedin.com/company/alcomy,Alcomy,"815 West 1250 South, Orem, UT",alphaMountain's mission is to build next-generation cybersecurity products and services to enhance malicious investigations and protect individuals on the Internet.,alcomy.com,,2-10,B2B Software,2018,https://html.duckduckgo.com/html/?q=%22Alcomy%22+founded+year+alcomy.com,https://www.alcomy.com/wp-content/uploads/2023/08/cropped-alcomy-favicon-180x180.png,apple-touch-icon,"Mobile-first care management software for assisted living facilities and residential care homes that replaces paper-based documentation with a unified app for medication tracking, care logs, and facility operations.",Vertical SaaS for senior care facilities (assisted living and residential care management),smb,contact-sales,,,,,"{""claim"": ""Founded by operators with decades of facility management experience who built the product specifically for non-technical staff; achieved 95% adoption rate with mobile-first, intuitive design that rivals smartphone usability."", ""sourceQuote"": ""Unlike so many developers who see an opportunity for profit but lack experience in our industry, we understand the challenges of facility administration. We did it for decades, and we built Alcomy to make facility management easier and (almost) stress-free.""}","[{""metric"": ""adoption rate"", ""value"": ""95%"", ""sourceQuote"": ""With a 95% adoption rate, your staff will be ready to leave your siloed paper system behind.""}]",,"[""https://alcomy.com"", ""https://alcomy.com/about"", ""https://alcomy.com/company"", ""https://alcomy.com/team"", ""https://alcomy.com/our-team"", ""https://alcomy.com/careers"", ""https://alcomy.com/jobs"", ""https://alcomy.com/pricing"", ""https://alcomy.com/customers"", ""https://alcomy.com/case-studies""]",[]
profile,http://www.linkedin.com/company/alphamountain,alphaMountain,"1557 West Innovation Way, Lehi, UT",,www.alphamountain.ai,Seed ,2-10,Security ,2020,https://html.duckduckgo.com/html/?q=%22alphaMountain%22+founded+year+www.alphamountain.ai,https://www.alphamountain.ai/wp-content/uploads/2022/01/cropped-favicon-180x180.png,apple-touch-icon,Cybersecurity teams use alphaMountain's threat intelligence APIs and URL/IP reputation feeds to classify malicious domains and IPs faster and with fresher data than competitors.,B2B cybersecurity threat intelligence APIs and feeds,enterprise,contact-sales,,,,,"{""claim"": ""Their threat intelligence data is fresher than any other source, with AI-powered domain/IP reputation and URL classification covering internet malicious actors."", ""sourceQuote"": ""The best threat intelligence starts with the best data. Strengthen your cybersecurity with domain and IP threat intelligence that's fresher than any other source.""}",,"[""VirusTotal"", ""Cisco SecureX"", ""Splunk"", ""Maltego""]","[""https://www.alphamountain.ai""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/altitude-ai,Altitude AI,"215 South State Street, Salt Lake City, UT","Our mission is to accelerate the Fourth Industrial Revolution. We will do this through leveraging our proprietary software, Altitude OS. 

Our platform processes raw data from cameras and force sensors using best-in-class computer vision algorithms developed in-house. The results of that perception drives intelligent motion commands for existing industrial robots. This enables industrial robots to perform advanced and never before seen tasks in pre-existing environments.",www.altitudeai.ai,Seed ,2-10,B2B Software,2021,https://html.duckduckgo.com/html/?q=%22Altitude+AI%22+founded+year+www.altitudeai.ai,https://sequence-theme.vercel.app/_astro/altitude-dashboard.8gMQbH5C.png,og:image,"AI-powered software for system integrators and industrial automation engineers to understand, generate, and troubleshoot PLC/robot code, electrical drawings, and technical documentation.",Vertical SaaS for industrial automation / system integration,enterprise,,,,,,"{""claim"": ""Purpose-built for complex industrial projects with AI expertise in PLC programming, electrical drawing analysis, and control system documentation; recognized as #1 among system integrator giants."", ""sourceQuote"": ""That's why our AI is #1 among the System Integrator Giants.""}",,"[""AVEVA"", ""Siemens"", ""industrial automation platforms""]","[""https://www.altitudeai.ai""]",[]
profile,http://www.linkedin.com/company/alysio,Alysio,"1637 East Harrison Avenue, Salt Lake City, UT","People performance management for sales. Alysio provides a transformation to the way you scale your sales team. It's the platform used by the world's leading enterprises to improve productivity, understand the individual and have dependability around revenue forecasting.
",www.alysio.ai,Seed ,2-10,B2B Software,2022,https://html.duckduckgo.com/html/?q=%22Alysio%22+founded+year+www.alysio.ai,https://cdn.prod.website-files.com/64f884100a8e519bc0b5f12e/699c4ae9bebfeca32590e88c_OG_image1-1.png,og:image,"AI-native GTM platform that unifies revenue and sales data from multiple tools (Salesforce, HubSpot, Gong, etc.) into a single interface, providing real-time insights and AI-powered automations for sales leaders and RevOps teams.",AI agent platform for revenue operations and sales enablement,enterprise,contact-sales,,"[""Sendoso"", ""MongoDB"", ""rinsed"", ""Netcraft"", ""DemandDrive"", ""recharge"", ""scorpion"", ""warmly"", ""route"", ""Mixmax""]",,,"{""claim"": ""Enterprise-grade security with zero-trust architecture where data never leaves the customer's existing tools; AI agents specifically trained on revenue and sales workflows rather than general-purpose LLMs; and direct action capabilities (CRM writes, scheduling, data enrichment) within a single interface."", ""sourceQuote"": ""Your data never leaves your tools, and you never have to worry about third-party AI accessing your sales and revenue intelligence... The AI-native platform understands the context of your deals, pipeline, and forecasts.""}",,"[""Salesforce"", ""HubSpot"", ""Gong"", ""Outreach"", ""Gmail"", ""Google Calendar"", ""Microsoft Outlook""]","[""https://www.alysio.ai""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/bracket-labs,Bracket Labs,"2901 West Bluegrass Boulevard, Lehi, UT",Bracket Is Liquid Staked DeFi. Backed By Binance Labs.,www.bracket.fi,Seed ,2-10,FinTech,2010,https://html.duckduckgo.com/html/?q=bracket-labs+founded+year,https://bracket.fi/og-image.png,og:image,"Bracket Labs provides institutional-grade vault infrastructure for digital asset managers, allocators, and stablecoin issuers to deploy and manage strategies with transparent reporting, compliant onboarding, and verified traders.",B2B fintech for digital asset management infrastructure,enterprise,subscription,,"[""Boreal""]",,,"{""claim"": ""Institutional-grade vault infrastructure combining transparent third-party NAV administration, lot-level accounting, policy-managed wallets, and vetting of professional managers to give institutional allocators confidence in crypto yield strategies."", ""sourceQuote"": ""Institutional grade vault infrastructure for digital assets""}","[{""metric"": ""TVL"", ""value"": ""$2.71M"", ""sourceQuote"": ""bravUSDC Estimated APY Net of Fees 10.85% Strategy yield Managed by Boreal TVL $2.71M""}, {""metric"": ""Strategies live"", ""value"": ""3"", ""sourceQuote"": ""bravUSDC, brUSDC, brETH""}, {""metric"": ""NAV (sample vault)"", ""value"": ""1.068310"", ""sourceQuote"": ""Current NAV 1.068310 NAV at Launch 1.000000""}]","[""Fordefi"", ""Utila"", ""Fireblocks"", ""Pennyworks"", ""DeFillama"", ""Slice Analytics"", ""Quadrata""]","[""https://www.bracket.fi"", ""https://www.bracket.fi/about"", ""https://www.bracket.fi/about-us"", ""https://www.bracket.fi/company"", ""https://www.bracket.fi/team"", ""https://www.bracket.fi/our-team"", ""https://www.bracket.fi/careers"", ""https://www.bracket.fi/jobs""]","[""keyMetrics[1]""]"
profile,http://www.linkedin.com/company/trycrew,Crew ,"2000 Ashton Boulevard, Lehi, UT",Crew is a neobank for families. We help parents manage their own finances while empowering them to teach their children financial literacy.,www.trycrew.com,Seed ,2-10,FinTech,2019,https://html.duckduckgo.com/html/?q=%22Crew%22+founded+year+www.trycrew.com,https://cdn.prod.website-files.com/64513c35a9ab35d42fbf05f0/64557726506ffc25ed90c86b_iphone.png,apple-touch-icon,"Consumer fintech app that provides high-yield checking accounts with automated budgeting, paycheck splitting, and family financial management features.",Consumer fintech – high-yield checking account and personal finance management,consumer,contact-sales,,,,,"{""claim"": ""High-yield checking account (2.95% APY) with no minimum balance, combined with powerful automation rules and family account features (joint accounts, child accounts, automated allowances). Being digital-only allows them to offer higher interest rates than traditional banks."", ""sourceQuote"": ""High-yield checking 2.95% annual percentage yield (APY) bank accounts with no minimum balance. Being a digital only product means we can pass more interest on to our customers.""}",,,"[""https://www.trycrew.com"", ""https://www.trycrew.com/about""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/data-quality-co-op,Data Quality Co-Op,"Salt Lake City, UT","Data Quality Co-op ensures it's clients' business decisions, marketing campaigns and AI models are informed by high-quality, high-value data.",www.dataqualityco-op.com,Seed ,2-10,B2B Software,2024,https://html.duckduckgo.com/html/?q=%22Data+Quality+Co-Op%22+founded+year+www.dataqualityco-op.com,https://icons.duckduckgo.com/ip3/dataqualityco-op.com.ico,ddg-favicon,"Platform that helps market research and data-driven companies measure and manage first-party data quality across collection, partnerships, and verification to ensure reliable data for business decisions.",Data quality assurance platform for first-party data ecosystem,mid-market,,"[{""name"": ""Bob Fawson"", ""title"": ""Co-Founder""}, {""name"": ""Ian Haynes"", ""title"": ""Co-Founder""}]","[""Dig Insights""]",,,"{""claim"": ""Independent hub for data quality signals with universal participant tracking and real-time quality-driven decision support, combining behavioral science and AI-driven insights."", ""sourceQuote"": ""As the independent hub for data quality signals, we help buyers and suppliers of 1st-party data measure, understand, and manage quality.""}",,,"[""https://www.dataqualityco-op.com"", ""https://www.dataqualityco-op.com/about"", ""https://www.dataqualityco-op.com/about-us""]",[]
profile,http://www.linkedin.com/company/deeppowerinc,DeepPower,"1633 West Innovation Way, Lehi, UT",Developing a breakthrough geothermal drilling technology to access the Earth’s unlimited source of clean heat energy. ,www.deeppower.com,Series A ,2-10,Energy,2022,https://html.duckduckgo.com/html/?q=%22DeepPower%22+founded+year+www.deeppower.com,https://forsale.spaceship-cdn.com/static/latest/3.latest/assets/fonts/apple-touch-icon-57x57.png,apple-touch-icon,<UNKNOWN>,<UNKNOWN>,,,,,,,,,,"[""https://www.deeppower.com""]",[]
profile,http://www.linkedin.com/company/domusdx,Domus Diagnostics,"1445 Settlement Drive, Park City, UT","Domus Diagnostics is working to create infectious disease diagnostic tests that are affordable, user-friendly, accurate, and rapid enough to address the needs raised by current and future public health crises.",www.domusdx.com,Seed ,2-10,Bio/Medical Tech,2021,https://html.duckduckgo.com/html/?q=domusdx+founded+year,"https://static.wixstatic.com/media/bfb7cd_d2ec0b3534eb488c916d98d44a113875%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/bfb7cd_d2ec0b3534eb488c916d98d44a113875%7Emv2.jpg",og:image,"Diagnostic test developer building low-cost, accurate, simple-to-use molecular tests for infectious diseases deployable in home, point-of-care, and laboratory settings globally.","Molecular diagnostics platform for infectious diseases (at-home, POC, and lab)",developer,,"[{""name"": ""John Reif"", ""title"": ""Co-Founder, Director (Non-Executive) & Scientific Advisor"", ""priorCompanies"": [""Duke University""], ""sourceQuote"": ""Originally spun out of Duke University in early 2021 by Professor John Reif (Non-Executive Director), Dr. Harald Casebourne Stock (Executive Chair, Board of Directors), and Dr. Xin Song (Chief Scientific Officer - designate)""}, {""name"": ""Harald Casebourne Stock"", ""title"": ""Co-Founder & Executive Chair, Board of Directors"", ""priorCompanies"": [""Grünenthal"", ""ArjoHuntleigh"", ""OvaScience"", ""Roche"", ""EptivA Therapeutics"", ""CognifiSense"", ""a l t a"", ""Blue Therapeutics""], ""sourceQuote"": ""Dr. Harald Casebourne Stock is a serial CEO and biotech (co-)founder. He has previously served as CEO at Grünenthal, ArjoHuntleigh, and OvaScience; co-founded Domus Diagnostics, EptivA Therapeutics, CognifiSense and a l t a, was Chair of the Board at Blue Therapeutics""}, {""name"": ""Xin Song"", ""title"": ""Co-Founder, Chief Scientific Officer & Principal Investigator"", ""priorCompanies"": [""Duke University""], ""sourceQuote"": ""Originally spun out of Duke University in early 2021 by Professor John Reif (Non-Executive Director), Dr. Harald Casebourne Stock (Executive Chair, Board of Directors), and Dr. Xin Song (Chief Scientific Officer - designate)""}]",,"{""round"": ""Grant"", ""amountUsd"": 2400000, ""leadInvestor"": ""NIH RADx Tech Program"", ""sourceQuote"": ""Domus awarded $2.4M by NIH RADx Tech Program""}",,"{""claim"": ""Proprietary RT-LAMP one-step, one-temperature technology enabling high-performance, low-cost diagnostic solutions with laboratory-grade accuracy (>95% sensitivity, 100% specificity) that require no cold chain, electricity, or advanced literacy."", ""sourceQuote"": ""Proprietary* RT-LAMP one-step, one-temperature technology allows for high performance, low-cost solutions everywhere you find diagnostic tests""}","[{""metric"": ""Test accuracy - sensitivity"", ""value"": "">95%"", ""sourceQuote"": ""As accurate as a laboratory PCR test: >95% sensitivity and 100% specificity*""}, {""metric"": ""Test accuracy - specificity"", ""value"": ""100%"", ""sourceQuote"": ""As accurate as a laboratory PCR test: >95% sensitivity and 100% specificity*""}, {""metric"": ""Time to results"", ""value"": ""30 minutes or less"", ""sourceQuote"": ""Results in 30 minutes or less""}]",,"[""https://www.domusdx.com"", ""https://www.domusdx.com/about"", ""https://www.domusdx.com/team""]","[""founders[1]""]"
profile,http://www.linkedin.com/company/dónde,Dónde,"26 Rio Grand Street, Salt Lake City, UT","Dónde enables companies to offer travel as a benefit. Our platform allows companies to contribute to their employees time off activities, so they can return to work refreshed and able to do the best work of their lives.",www.godonde.com,Seed ,2-10,B2B Software,2020,https://html.duckduckgo.com/html/?q=%22D%C3%B3nde%22+founded+year+www.godonde.com,https://cdn.prod.website-files.com/6027fd90ca34278e5b6cfc9c/6048ee245a704efe5a558f18_android-chrome-256x256.png,apple-touch-icon,DEFUNCT. Employee travel and rewards platform that offered travel benefits funded by employer matching and PTO rewards — now closed after 5 years of operation.,Employee benefits / travel rewards (inactive),,,,,,,,,,"[""https://www.godonde.com"", ""https://www.godonde.com/about"", ""https://www.godonde.com/about-us"", ""https://www.godonde.com/company"", ""https://www.godonde.com/team"", ""https://www.godonde.com/our-team"", ""https://www.godonde.com/careers"", ""https://www.godonde.com/jobs"", ""https://www.godonde.com/pricing"", ""https://www.godonde.com/customers"", ""https://www.godonde.com/case-studies""]",[]
