id,Title,description,Communities,Industries,Locations,Topics,link,email
2543,Utah Department of Workforce Services,"The Utah Department of Workforce Services (DWS) offers a comprehensive range of services to support job seekers, employers, and individuals seeking assistance. Job seekers can access a robust job board with over 35,000 open positions across various fields, as well as resources for career counseling, training, and workshops.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Late Stage Growth,https://jobs.utah.gov/,
2544,Weber Basin Job Corps,"The Weber Basin Job Corps Civilian Conservation Center, located in Ogden, Utah, offers a variety of career-focused training programs, including advanced emergency dispatch, carpentry, culinary arts, electrical work, and forestry conservation. In addition to career preparation, the center provides students with housing, meals, medical care, and a supportive community to help them succeed in a safe and enriching environment",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Late Stage Growth,https://weberbasin.jobcorps.gov/,
2545,Clearfield Job Corps,"The Clearfield Job Corps Center provides free educational and vocational training programs for young adults aged 16-24, offering pathways to high school diplomas, GEDs, and certifications in various technical and career fields. The program emphasizes personal and professional growth, preparing students for successful careers with hands-on training, academic support, and opportunities for advanced career education",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Late Stage Growth,https://clearfield.jobcorps.gov/,
2546,Talent Ready Utah,"""Talent Ready Utah optimizes efforts made by education and industry partnerships, working collectively to build a highly-skilled workforce while providing students with increased career and education opportunities. Below are some of the programs designed to support that mission. Since the program’s inception, Talent Ready Utah has had a proud tradition of partnering with education and employers across various industries to implement similar workforce development programs. These programs provide students with career exploration while building the talent pipeline for sectors with significant economic impacts on the state.
 
 
 
 Talent Ready Utah is an initiative under the Utah System of Higher Education focused on bridging education and industry to develop Utah’s workforce. It collaborates with schools, businesses, and government to offer programs like apprenticeships, career pathways, and short-term training, helping students and workers gain valuable skills for high-demand industries while supporting employers in building strong talent pipelines""",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Late Stage Growth,https://talentready.ushe.edu/,
2547,USU Remote Online Initiative,The Rural Online Initiative provides specialized remote work training to individuals and e-commerce help to rural and agriculture businesses for success in a rapidly changing economy.,Rural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Late Stage Growth,https://extension.usu.edu/remoteworkcertificate/,
2548,Apprenticeship Utah,"The Utah Apprenticeship Program offers a variety of career-building opportunities, enabling individuals to earn while they learn across industries like healthcare, construction, manufacturing, and IT. Participants gain hands-on experience alongside classroom instruction, preparing them for nationally-recognized credentials and high-paying careers, with potential earnings of up to $60,000 annually after completing their apprenticeship​. The program supports both employers and apprentices, helping businesses develop skilled workers and providing a viable alternative to traditional college paths",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Late Stage Growth,https://apprenticeship.utah.gov/,
2549,Teen Entrepreneur Support Center,"The Teen Entrepreneur Support Center is dedicated to empowering young entrepreneurs by providing free resources, mentorship, and support to help them achieve business success. The center connects aspiring teen business owners with experienced mentors from various industries, offering guidance on building, growing, and scaling their ventures. Additionally, the center organizes events, workshops, and networking opportunities to foster a collaborative entrepreneurial community.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://teenentrepreneurship.org/,
2550,Uinta Basin Tech - Entrepreneur Center,"The Entrepreneur Center at Utah State University's Uintah Basin campus fosters entrepreneurial leadership by offering classes, internships, and competitions to develop skills such as creativity, self-reliance, and resourcefulness.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Carbon|Emery|Grand|San Juan,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://statewide.usu.edu/uintahbasin/ecenter/,cameron.cuch@usu.edu
2551,Brigham Young University (BYU) - Rollins Center,"The Rollins Center for Entrepreneurship & Technology at Brigham Young University's Marriott School of Business fosters student innovation and business creation through mentorship, competitions, and experiential learning. It offers resources such as the Sandbox program, which helps students launch their own companies, and the Entrepreneur Founders Organization, providing networking opportunities with successful entrepreneurs. The center's mission is to inspire confidence and creativity, cultivating vision and innovation among students.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Summit|Utah|Wasatch,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://marriott.byu.edu/cet/,cet@byu.edu
2552,Salt Lake Community College (SLCC) - The Mill,"The Mill is the home of the American dream. This is the place where entrepreneurs come to learn, network, and scale their businesses. Discover how our business incubator can help you expand your business.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Wasatch,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://themillatslcc.com/,info@themillatmiller.com
