Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section,Founded Year,Founded Source,Logo URL,Logo Source
profile,http://www.linkedin.com/company/alcomy,Alcomy,"815 West 1250 South, Orem, UT",alphaMountain's mission is to build next-generation cybersecurity products and services to enhance malicious investigations and protect individuals on the Internet.,alcomy.com,,2-10,B2B Software,2018,https://html.duckduckgo.com/html/?q=%22Alcomy%22+founded+year+alcomy.com,https://www.alcomy.com/wp-content/uploads/2023/08/cropped-alcomy-favicon-180x180.png,apple-touch-icon
profile,http://www.linkedin.com/company/alphamountain,alphaMountain,"1557 West Innovation Way, Lehi, UT",,www.alphamountain.ai,Seed ,2-10,Security ,2020,https://html.duckduckgo.com/html/?q=%22alphaMountain%22+founded+year+www.alphamountain.ai,https://www.alphamountain.ai/wp-content/uploads/2022/01/cropped-favicon-180x180.png,apple-touch-icon
profile,http://www.linkedin.com/company/altitude-ai,Altitude AI,"215 South State Street, Salt Lake City, UT","Our mission is to accelerate the Fourth Industrial Revolution. We will do this through leveraging our proprietary software, Altitude OS. 

Our platform processes raw data from cameras and force sensors using best-in-class computer vision algorithms developed in-house. The results of that perception drives intelligent motion commands for existing industrial robots. This enables industrial robots to perform advanced and never before seen tasks in pre-existing environments.",www.altitudeai.ai,Seed ,2-10,B2B Software,2021,https://html.duckduckgo.com/html/?q=%22Altitude+AI%22+founded+year+www.altitudeai.ai,https://sequence-theme.vercel.app/_astro/altitude-dashboard.8gMQbH5C.png,og:image
profile,http://www.linkedin.com/company/alysio,Alysio,"1637 East Harrison Avenue, Salt Lake City, UT","People performance management for sales. Alysio provides a transformation to the way you scale your sales team. It's the platform used by the world's leading enterprises to improve productivity, understand the individual and have dependability around revenue forecasting.
",www.alysio.ai,Seed ,2-10,B2B Software,2022,https://html.duckduckgo.com/html/?q=%22Alysio%22+founded+year+www.alysio.ai,https://cdn.prod.website-files.com/64f884100a8e519bc0b5f12e/699c4ae9bebfeca32590e88c_OG_image1-1.png,og:image
profile,http://www.linkedin.com/company/bracket-labs,Bracket Labs,"2901 West Bluegrass Boulevard, Lehi, UT",Bracket Is Liquid Staked DeFi. Backed By Binance Labs.,www.bracket.fi,Seed ,2-10,FinTech,2010,https://html.duckduckgo.com/html/?q=bracket-labs+founded+year,https://bracket.fi/og-image.png,og:image
profile,http://www.linkedin.com/company/trycrew,Crew ,"2000 Ashton Boulevard, Lehi, UT",Crew is a neobank for families. We help parents manage their own finances while empowering them to teach their children financial literacy.,www.trycrew.com,Seed ,2-10,FinTech,2019,https://html.duckduckgo.com/html/?q=%22Crew%22+founded+year+www.trycrew.com,https://cdn.prod.website-files.com/64513c35a9ab35d42fbf05f0/64557726506ffc25ed90c86b_iphone.png,apple-touch-icon
profile,http://www.linkedin.com/company/data-quality-co-op,Data Quality Co-Op,"Salt Lake City, UT","Data Quality Co-op ensures it's clients' business decisions, marketing campaigns and AI models are informed by high-quality, high-value data.",www.dataqualityco-op.com,Seed ,2-10,B2B Software,2024,https://html.duckduckgo.com/html/?q=%22Data+Quality+Co-Op%22+founded+year+www.dataqualityco-op.com,https://icons.duckduckgo.com/ip3/dataqualityco-op.com.ico,ddg-favicon
profile,http://www.linkedin.com/company/deeppowerinc,DeepPower,"1633 West Innovation Way, Lehi, UT",Developing a breakthrough geothermal drilling technology to access the Earth’s unlimited source of clean heat energy. ,www.deeppower.com,Series A ,2-10,Energy,2022,https://html.duckduckgo.com/html/?q=%22DeepPower%22+founded+year+www.deeppower.com,https://forsale.spaceship-cdn.com/static/latest/3.latest/assets/fonts/apple-touch-icon-57x57.png,apple-touch-icon
profile,http://www.linkedin.com/company/domusdx,Domus Diagnostics,"1445 Settlement Drive, Park City, UT","Domus Diagnostics is working to create infectious disease diagnostic tests that are affordable, user-friendly, accurate, and rapid enough to address the needs raised by current and future public health crises.",www.domusdx.com,Seed ,2-10,Bio/Medical Tech,2021,https://html.duckduckgo.com/html/?q=domusdx+founded+year,"https://static.wixstatic.com/media/bfb7cd_d2ec0b3534eb488c916d98d44a113875%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/bfb7cd_d2ec0b3534eb488c916d98d44a113875%7Emv2.jpg",og:image
profile,http://www.linkedin.com/company/dónde,Dónde,"26 Rio Grand Street, Salt Lake City, UT","Dónde enables companies to offer travel as a benefit. Our platform allows companies to contribute to their employees time off activities, so they can return to work refreshed and able to do the best work of their lives.",www.godonde.com,Seed ,2-10,B2B Software,2020,https://html.duckduckgo.com/html/?q=%22D%C3%B3nde%22+founded+year+www.godonde.com,https://cdn.prod.website-files.com/6027fd90ca34278e5b6cfc9c/6048ee245a704efe5a558f18_android-chrome-256x256.png,apple-touch-icon
profile,http://www.linkedin.com/company/dorai-home,Dorai,"1171 West 2400 South, West Valley City, UT","Conscientiously designed home products that help prevent bacteria and remove moisture with rapidly drying Diomat material. Dorai combines solutions found in nature with thoughtful design to create modern, organic home accessories for all surfaces that come in contact with water.",www.doraihome.com,Seed ,2-10,Consumer,2018,https://html.duckduckgo.com/html/?q=%22Dorai%22+founded+year+www.doraihome.com,http://doraihome.com/cdn/shop/files/Frame_1.png?v=1733257843&amp;width=900,og:image
profile,http://www.linkedin.com/company/joindree,dree,"139 Hunter's Grove Lane, Lehi, UT",Find a LaundryPro in your area and schedule your laundry service within 60 seconds.,www.dree.com,Seed ,2-10,Consumer,2021,https://html.duckduckgo.com/html/?q=%22dree%22+founded+year+www.dree.com,https://icons.duckduckgo.com/ip3/dree.com.ico,ddg-favicon
profile,http://www.linkedin.com/company/bemoredriven,Driven,"1355 South 960 East, Heber City, UT",A performance improvement tool for the Pest Control industry.,pestiq.webflow.io,Seed ,2-10,B2B Software,,https://html.duckduckgo.com/html/?q=pestiq.webflow.io+founded+year,https://icons.duckduckgo.com/ip3/pestiq.webflow.io.ico,ddg-favicon
profile,http://www.linkedin.com/company/eaglecorps,EagleCorps,"350 East 400 South, Salt Lake City, UT","Join us in addressing the veteran underemployment crisis by building cohesive veteran teams for IT-related fields. As a veteran-led and founded business, we are the experts in recruiting, training, and deploying veterans into your company. ",www.eaglecorps.com,Seed ,2-10,B2B Software,2022,https://html.duckduckgo.com/html/?q=%22EagleCorps%22+founded+year+www.eaglecorps.com,https://icons.duckduckgo.com/ip3/eaglecorps.com.ico,ddg-favicon
profile,http://www.linkedin.com/company/ednition,Ednition,"18 West 1900 South, Kaysville, UT","Ednition helps Edtech developers build and scale amazing applications. Our first product, RosterStream, is a rostering infrastructure and automation platform. Basically, we make rostering awesome.",www.ednition.com,Seed ,2-10,B2B Software,2021,https://html.duckduckgo.com/html/?q=%22Ednition%22+founded+year+www.ednition.com,https://cdn.prod.website-files.com/62758e701c2ba6455335e810/629fbaccd81f966de48af559_ednition-favicon-256.png,apple-touch-icon
profile,http://www.linkedin.com/company/goerrand,Errand,"815 West 1250 South, Orem, UT","Errand is the world's first on-demand, totally customizable errand running service for busy people. Similar to other gig-economy companies such as DoorDash/Uber, Errand provides its customers with ""Errand Runners"" that can perform just about any errand under the sun.",www.goerrand.com,Seed ,2-10,Consumer,2022,https://html.duckduckgo.com/html/?q=goerrand+founded+year,https://www.goerrand.com/logo192.png,apple-touch-icon
